,review,review_resume,verified,Type Of Traveller,Seat Type,Route,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Wifi & Connectivity,year,Month
1387,not verified  you cant imagine how bad their customer service is it was about  hours delayed and i was travelling with my  little daughters    and they refused my compensation they even didnt even serve the food for my small daughters i knew how difficult my day was with this long delay and with my  little daughters,about  hours delayed,0,Family Leisure,Economy Class,Chittagong to Milan via Sharjah,1,1,1,1,2,0,1,2024,July
1388,not verified  very bad customer service at trivandrum airport check in distracting with laptop bag and hand bag the workers attitude is very bad while reaching the checkin counter and making the travel hectic poor service,poor service,0,Family Leisure,Economy Class,Thiruvananthapuram to Abha,2,1,2,1,1,0,1,2024,June
1391,not verified  i recently had a very disappointing experience with air arabia regarding their ticket cancellation and refund policy i booked a flight for my brother and paid an extra  just to make the ticket cancellable later due to unavoidable reasons i had to cancel the ticket instead of refunding the amount back to my original payment method air arabia held the amount in credit points which is an unfair policy considering i had paid extra for a cancellable ticket when i tried to use these credits for my own flight booking i was shocked to find out that i couldnt use them because the credit was under my brothers name despite the fact that both bookings were made from my own account this makes no senseif air arabia is going to hold my money hostage in credit points then at the very least they should allow it to be redeemed within the same account regardless of the passengers name this is a highly restrictive and unfair policy if an airline is unwilling to return the money directly to the customer they should at least provide the flexibility to use it for future bookings regardless of passenger name as long as it is within the same account this experience has left me with a very negative impression of air arabias policies instead of offering customerfriendly solutions they create unnecessary restrictions that ultimately cause financial loss and frustration for their passengers i would strongly advise anyone considering air arabia to read their fine print carefully before paying extra for a cancellable ticketbecause in reality your money might not be as flexible as you think i certainly wont be choosing them again unless they make their policies more transparent and customerfriendly very disappointed with their refund  credit policies,highly restrictive and unfair policy,0,Solo Leisure,Economy Class,Kathmandu to Abu Dhabi,2,2,3,1,1,0,2,2025,January
1392,trip verified  terrible experience with this airline the airplane was badly maintained the legroom was nonexistent and we had the worst experience with customer service and staff at the airport even if you can find free tickets you are better off avoiding this airline,better off avoiding this airline,1,Couple Leisure,Economy Class,Athens to Bangkok,1,1,1,1,1,0,1,2025,January
1394,not verified  before two years i used to fly with them and it was a pleasant one now its far behind that quality i enjoy now there is no comfortable space between the two seats very difficult to sit if the front seater reclines his seat to mine also there is no entertainment option qr code is not visible every airlines targets only for maximum profit not the comfort of the pax all other things are okay,far behind that quality i enjoy,0,Solo Leisure,Economy Class,Kochi to Abu Dhabi,1,3,3,5,3,1,1,2024,December
1395,trip verified    really bad experience i dont recommend at all they made me pay extra on my hand baggage they even weight the laptop my wallet and my jacket and all of that happened after dropping my baggage at the counter and they have employees with their hands scale they wait for you just before you leave the counters area i said to the employee this is the same baggage i came with he just answered no body is following the roles all baggage must be k i said even my wallet he answered yes everything,really bad experience,1,Solo Leisure,Economy Class,Sharjah to Amman,1,2,1,1,1,0,1,2024,November
1396,not verified   i had a terrible experience with air arabia my husband was recovering from surgery and we planned a holiday which turned into a nightmare due to their services before paying everyone was polite but after that they left my family of  stranded despite having a hotel confirmation we were left on the streets at midnight when i tried to contact them the response was shocking they told me to wait until  am the next morning for a solution we had a tough morning without finding a solution as a result we asked for our tickets to be changed so we could return home dealing with the situation was particularly difficult because my youngest daughter has autism they agreed to change our tickets but asked us to pay for new ones however i have all the proof and all the records but they just prefer to keep silent i tried to find a suitable solution no way and the worst is when you go to their office or send an email your case will be handled by unprofessional staff who have no idea what you are talking about,i had a terrible experience,0,Family Leisure,Economy Class,Dubai to Tbilisi,1,1,1,1,1,0,1,2024,June
1397,not verified  you cant imagine how bad their customer service is it was about  hours delayed and i was travelling with my  little daughters    and they refused my compensation they even didnt even serve the food for my small daughters i knew how difficult my day was with this long delay and with my  little daughters,about  hours delayed,0,Family Leisure,Economy Class,Chittagong to Milan via Sharjah,1,1,1,1,2,0,1,2024,July
1398,not verified  very bad customer service at trivandrum airport check in distracting with laptop bag and hand bag the workers attitude is very bad while reaching the checkin counter and making the travel hectic poor service,poor service,0,Family Leisure,Economy Class,Thiruvananthapuram to Abha,2,1,2,1,1,0,1,2024,June
1401,not verified  i recently had a very disappointing experience with air arabia regarding their ticket cancellation and refund policy i booked a flight for my brother and paid an extra  just to make the ticket cancellable later due to unavoidable reasons i had to cancel the ticket instead of refunding the amount back to my original payment method air arabia held the amount in credit points which is an unfair policy considering i had paid extra for a cancellable ticket when i tried to use these credits for my own flight booking i was shocked to find out that i couldnt use them because the credit was under my brothers name despite the fact that both bookings were made from my own account this makes no senseif air arabia is going to hold my money hostage in credit points then at the very least they should allow it to be redeemed within the same account regardless of the passengers name this is a highly restrictive and unfair policy if an airline is unwilling to return the money directly to the customer they should at least provide the flexibility to use it for future bookings regardless of passenger name as long as it is within the same account this experience has left me with a very negative impression of air arabias policies instead of offering customerfriendly solutions they create unnecessary restrictions that ultimately cause financial loss and frustration for their passengers i would strongly advise anyone considering air arabia to read their fine print carefully before paying extra for a cancellable ticketbecause in reality your money might not be as flexible as you think i certainly wont be choosing them again unless they make their policies more transparent and customerfriendly very disappointed with their refund  credit policies,highly restrictive and unfair policy,0,Solo Leisure,Economy Class,Kathmandu to Abu Dhabi,2,2,3,1,1,0,2,2025,January
1402,trip verified  terrible experience with this airline the airplane was badly maintained the legroom was nonexistent and we had the worst experience with customer service and staff at the airport even if you can find free tickets you are better off avoiding this airline,better off avoiding this airline,1,Couple Leisure,Economy Class,Athens to Bangkok,1,1,1,1,1,0,1,2025,January
1404,not verified  before two years i used to fly with them and it was a pleasant one now its far behind that quality i enjoy now there is no comfortable space between the two seats very difficult to sit if the front seater reclines his seat to mine also there is no entertainment option qr code is not visible every airlines targets only for maximum profit not the comfort of the pax all other things are okay,far behind that quality i enjoy,0,Solo Leisure,Economy Class,Kochi to Abu Dhabi,1,3,3,5,3,1,1,2024,December
1405,trip verified    really bad experience i dont recommend at all they made me pay extra on my hand baggage they even weight the laptop my wallet and my jacket and all of that happened after dropping my baggage at the counter and they have employees with their hands scale they wait for you just before you leave the counters area i said to the employee this is the same baggage i came with he just answered no body is following the roles all baggage must be k i said even my wallet he answered yes everything,really bad experience,1,Solo Leisure,Economy Class,Sharjah to Amman,1,2,1,1,1,0,1,2024,November
1406,not verified   i had a terrible experience with air arabia my husband was recovering from surgery and we planned a holiday which turned into a nightmare due to their services before paying everyone was polite but after that they left my family of  stranded despite having a hotel confirmation we were left on the streets at midnight when i tried to contact them the response was shocking they told me to wait until  am the next morning for a solution we had a tough morning without finding a solution as a result we asked for our tickets to be changed so we could return home dealing with the situation was particularly difficult because my youngest daughter has autism they agreed to change our tickets but asked us to pay for new ones however i have all the proof and all the records but they just prefer to keep silent i tried to find a suitable solution no way and the worst is when you go to their office or send an email your case will be handled by unprofessional staff who have no idea what you are talking about,i had a terrible experience,0,Family Leisure,Economy Class,Dubai to Tbilisi,1,1,1,1,1,0,1,2024,June
1407,not verified  you cant imagine how bad their customer service is it was about  hours delayed and i was travelling with my  little daughters    and they refused my compensation they even didnt even serve the food for my small daughters i knew how difficult my day was with this long delay and with my  little daughters,about  hours delayed,0,Family Leisure,Economy Class,Chittagong to Milan via Sharjah,1,1,1,1,2,0,1,2024,July
1408,not verified  very bad customer service at trivandrum airport check in distracting with laptop bag and hand bag the workers attitude is very bad while reaching the checkin counter and making the travel hectic poor service,poor service,0,Family Leisure,Economy Class,Thiruvananthapuram to Abha,2,1,2,1,1,0,1,2024,June
1411,not verified  i recently had a very disappointing experience with air arabia regarding their ticket cancellation and refund policy i booked a flight for my brother and paid an extra  just to make the ticket cancellable later due to unavoidable reasons i had to cancel the ticket instead of refunding the amount back to my original payment method air arabia held the amount in credit points which is an unfair policy considering i had paid extra for a cancellable ticket when i tried to use these credits for my own flight booking i was shocked to find out that i couldnt use them because the credit was under my brothers name despite the fact that both bookings were made from my own account this makes no senseif air arabia is going to hold my money hostage in credit points then at the very least they should allow it to be redeemed within the same account regardless of the passengers name this is a highly restrictive and unfair policy if an airline is unwilling to return the money directly to the customer they should at least provide the flexibility to use it for future bookings regardless of passenger name as long as it is within the same account this experience has left me with a very negative impression of air arabias policies instead of offering customerfriendly solutions they create unnecessary restrictions that ultimately cause financial loss and frustration for their passengers i would strongly advise anyone considering air arabia to read their fine print carefully before paying extra for a cancellable ticketbecause in reality your money might not be as flexible as you think i certainly wont be choosing them again unless they make their policies more transparent and customerfriendly very disappointed with their refund  credit policies,highly restrictive and unfair policy,0,Solo Leisure,Economy Class,Kathmandu to Abu Dhabi,2,2,3,1,1,0,2,2025,January
1412,trip verified  terrible experience with this airline the airplane was badly maintained the legroom was nonexistent and we had the worst experience with customer service and staff at the airport even if you can find free tickets you are better off avoiding this airline,better off avoiding this airline,1,Couple Leisure,Economy Class,Athens to Bangkok,1,1,1,1,1,0,1,2025,January
1414,not verified  before two years i used to fly with them and it was a pleasant one now its far behind that quality i enjoy now there is no comfortable space between the two seats very difficult to sit if the front seater reclines his seat to mine also there is no entertainment option qr code is not visible every airlines targets only for maximum profit not the comfort of the pax all other things are okay,far behind that quality i enjoy,0,Solo Leisure,Economy Class,Kochi to Abu Dhabi,1,3,3,5,3,1,1,2024,December
1415,trip verified    really bad experience i dont recommend at all they made me pay extra on my hand baggage they even weight the laptop my wallet and my jacket and all of that happened after dropping my baggage at the counter and they have employees with their hands scale they wait for you just before you leave the counters area i said to the employee this is the same baggage i came with he just answered no body is following the roles all baggage must be k i said even my wallet he answered yes everything,really bad experience,1,Solo Leisure,Economy Class,Sharjah to Amman,1,2,1,1,1,0,1,2024,November
1416,not verified   i had a terrible experience with air arabia my husband was recovering from surgery and we planned a holiday which turned into a nightmare due to their services before paying everyone was polite but after that they left my family of  stranded despite having a hotel confirmation we were left on the streets at midnight when i tried to contact them the response was shocking they told me to wait until  am the next morning for a solution we had a tough morning without finding a solution as a result we asked for our tickets to be changed so we could return home dealing with the situation was particularly difficult because my youngest daughter has autism they agreed to change our tickets but asked us to pay for new ones however i have all the proof and all the records but they just prefer to keep silent i tried to find a suitable solution no way and the worst is when you go to their office or send an email your case will be handled by unprofessional staff who have no idea what you are talking about,i had a terrible experience,0,Family Leisure,Economy Class,Dubai to Tbilisi,1,1,1,1,1,0,1,2024,June
1417,not verified  you cant imagine how bad their customer service is it was about  hours delayed and i was travelling with my  little daughters    and they refused my compensation they even didnt even serve the food for my small daughters i knew how difficult my day was with this long delay and with my  little daughters,about  hours delayed,0,Family Leisure,Economy Class,Chittagong to Milan via Sharjah,1,1,1,1,2,0,1,2024,July
1418,not verified  very bad customer service at trivandrum airport check in distracting with laptop bag and hand bag the workers attitude is very bad while reaching the checkin counter and making the travel hectic poor service,poor service,0,Family Leisure,Economy Class,Thiruvananthapuram to Abha,2,1,2,1,1,0,1,2024,June
1421,not verified  i recently had a very disappointing experience with air arabia regarding their ticket cancellation and refund policy i booked a flight for my brother and paid an extra  just to make the ticket cancellable later due to unavoidable reasons i had to cancel the ticket instead of refunding the amount back to my original payment method air arabia held the amount in credit points which is an unfair policy considering i had paid extra for a cancellable ticket when i tried to use these credits for my own flight booking i was shocked to find out that i couldnt use them because the credit was under my brothers name despite the fact that both bookings were made from my own account this makes no senseif air arabia is going to hold my money hostage in credit points then at the very least they should allow it to be redeemed within the same account regardless of the passengers name this is a highly restrictive and unfair policy if an airline is unwilling to return the money directly to the customer they should at least provide the flexibility to use it for future bookings regardless of passenger name as long as it is within the same account this experience has left me with a very negative impression of air arabias policies instead of offering customerfriendly solutions they create unnecessary restrictions that ultimately cause financial loss and frustration for their passengers i would strongly advise anyone considering air arabia to read their fine print carefully before paying extra for a cancellable ticketbecause in reality your money might not be as flexible as you think i certainly wont be choosing them again unless they make their policies more transparent and customerfriendly very disappointed with their refund  credit policies,highly restrictive and unfair policy,0,Solo Leisure,Economy Class,Kathmandu to Abu Dhabi,2,2,3,1,1,0,2,2025,January
1422,trip verified  terrible experience with this airline the airplane was badly maintained the legroom was nonexistent and we had the worst experience with customer service and staff at the airport even if you can find free tickets you are better off avoiding this airline,better off avoiding this airline,1,Couple Leisure,Economy Class,Athens to Bangkok,1,1,1,1,1,0,1,2025,January
1424,not verified  before two years i used to fly with them and it was a pleasant one now its far behind that quality i enjoy now there is no comfortable space between the two seats very difficult to sit if the front seater reclines his seat to mine also there is no entertainment option qr code is not visible every airlines targets only for maximum profit not the comfort of the pax all other things are okay,far behind that quality i enjoy,0,Solo Leisure,Economy Class,Kochi to Abu Dhabi,1,3,3,5,3,1,1,2024,December
1425,trip verified    really bad experience i dont recommend at all they made me pay extra on my hand baggage they even weight the laptop my wallet and my jacket and all of that happened after dropping my baggage at the counter and they have employees with their hands scale they wait for you just before you leave the counters area i said to the employee this is the same baggage i came with he just answered no body is following the roles all baggage must be k i said even my wallet he answered yes everything,really bad experience,1,Solo Leisure,Economy Class,Sharjah to Amman,1,2,1,1,1,0,1,2024,November
1426,not verified   i had a terrible experience with air arabia my husband was recovering from surgery and we planned a holiday which turned into a nightmare due to their services before paying everyone was polite but after that they left my family of  stranded despite having a hotel confirmation we were left on the streets at midnight when i tried to contact them the response was shocking they told me to wait until  am the next morning for a solution we had a tough morning without finding a solution as a result we asked for our tickets to be changed so we could return home dealing with the situation was particularly difficult because my youngest daughter has autism they agreed to change our tickets but asked us to pay for new ones however i have all the proof and all the records but they just prefer to keep silent i tried to find a suitable solution no way and the worst is when you go to their office or send an email your case will be handled by unprofessional staff who have no idea what you are talking about,i had a terrible experience,0,Family Leisure,Economy Class,Dubai to Tbilisi,1,1,1,1,1,0,1,2024,June
1427,not verified  you cant imagine how bad their customer service is it was about  hours delayed and i was travelling with my  little daughters    and they refused my compensation they even didnt even serve the food for my small daughters i knew how difficult my day was with this long delay and with my  little daughters,about  hours delayed,0,Family Leisure,Economy Class,Chittagong to Milan via Sharjah,1,1,1,1,2,0,1,2024,July
1428,not verified  very bad customer service at trivandrum airport check in distracting with laptop bag and hand bag the workers attitude is very bad while reaching the checkin counter and making the travel hectic poor service,poor service,0,Family Leisure,Economy Class,Thiruvananthapuram to Abha,2,1,2,1,1,0,1,2024,June
1431,not verified  i recently had a very disappointing experience with air arabia regarding their ticket cancellation and refund policy i booked a flight for my brother and paid an extra  just to make the ticket cancellable later due to unavoidable reasons i had to cancel the ticket instead of refunding the amount back to my original payment method air arabia held the amount in credit points which is an unfair policy considering i had paid extra for a cancellable ticket when i tried to use these credits for my own flight booking i was shocked to find out that i couldnt use them because the credit was under my brothers name despite the fact that both bookings were made from my own account this makes no senseif air arabia is going to hold my money hostage in credit points then at the very least they should allow it to be redeemed within the same account regardless of the passengers name this is a highly restrictive and unfair policy if an airline is unwilling to return the money directly to the customer they should at least provide the flexibility to use it for future bookings regardless of passenger name as long as it is within the same account this experience has left me with a very negative impression of air arabias policies instead of offering customerfriendly solutions they create unnecessary restrictions that ultimately cause financial loss and frustration for their passengers i would strongly advise anyone considering air arabia to read their fine print carefully before paying extra for a cancellable ticketbecause in reality your money might not be as flexible as you think i certainly wont be choosing them again unless they make their policies more transparent and customerfriendly very disappointed with their refund  credit policies,highly restrictive and unfair policy,0,Solo Leisure,Economy Class,Kathmandu to Abu Dhabi,2,2,3,1,1,0,2,2025,January
1432,trip verified  terrible experience with this airline the airplane was badly maintained the legroom was nonexistent and we had the worst experience with customer service and staff at the airport even if you can find free tickets you are better off avoiding this airline,better off avoiding this airline,1,Couple Leisure,Economy Class,Athens to Bangkok,1,1,1,1,1,0,1,2025,January
1434,not verified  before two years i used to fly with them and it was a pleasant one now its far behind that quality i enjoy now there is no comfortable space between the two seats very difficult to sit if the front seater reclines his seat to mine also there is no entertainment option qr code is not visible every airlines targets only for maximum profit not the comfort of the pax all other things are okay,far behind that quality i enjoy,0,Solo Leisure,Economy Class,Kochi to Abu Dhabi,1,3,3,5,3,1,1,2024,December
1435,trip verified    really bad experience i dont recommend at all they made me pay extra on my hand baggage they even weight the laptop my wallet and my jacket and all of that happened after dropping my baggage at the counter and they have employees with their hands scale they wait for you just before you leave the counters area i said to the employee this is the same baggage i came with he just answered no body is following the roles all baggage must be k i said even my wallet he answered yes everything,really bad experience,1,Solo Leisure,Economy Class,Sharjah to Amman,1,2,1,1,1,0,1,2024,November
1436,not verified   i had a terrible experience with air arabia my husband was recovering from surgery and we planned a holiday which turned into a nightmare due to their services before paying everyone was polite but after that they left my family of  stranded despite having a hotel confirmation we were left on the streets at midnight when i tried to contact them the response was shocking they told me to wait until  am the next morning for a solution we had a tough morning without finding a solution as a result we asked for our tickets to be changed so we could return home dealing with the situation was particularly difficult because my youngest daughter has autism they agreed to change our tickets but asked us to pay for new ones however i have all the proof and all the records but they just prefer to keep silent i tried to find a suitable solution no way and the worst is when you go to their office or send an email your case will be handled by unprofessional staff who have no idea what you are talking about,i had a terrible experience,0,Family Leisure,Economy Class,Dubai to Tbilisi,1,1,1,1,1,0,1,2024,June
1437,not verified  you cant imagine how bad their customer service is it was about  hours delayed and i was travelling with my  little daughters    and they refused my compensation they even didnt even serve the food for my small daughters i knew how difficult my day was with this long delay and with my  little daughters,about  hours delayed,0,Family Leisure,Economy Class,Chittagong to Milan via Sharjah,1,1,1,1,2,0,1,2024,July
1438,not verified  very bad customer service at trivandrum airport check in distracting with laptop bag and hand bag the workers attitude is very bad while reaching the checkin counter and making the travel hectic poor service,poor service,0,Family Leisure,Economy Class,Thiruvananthapuram to Abha,2,1,2,1,1,0,1,2024,June
1441,not verified  i recently had a very disappointing experience with air arabia regarding their ticket cancellation and refund policy i booked a flight for my brother and paid an extra  just to make the ticket cancellable later due to unavoidable reasons i had to cancel the ticket instead of refunding the amount back to my original payment method air arabia held the amount in credit points which is an unfair policy considering i had paid extra for a cancellable ticket when i tried to use these credits for my own flight booking i was shocked to find out that i couldnt use them because the credit was under my brothers name despite the fact that both bookings were made from my own account this makes no senseif air arabia is going to hold my money hostage in credit points then at the very least they should allow it to be redeemed within the same account regardless of the passengers name this is a highly restrictive and unfair policy if an airline is unwilling to return the money directly to the customer they should at least provide the flexibility to use it for future bookings regardless of passenger name as long as it is within the same account this experience has left me with a very negative impression of air arabias policies instead of offering customerfriendly solutions they create unnecessary restrictions that ultimately cause financial loss and frustration for their passengers i would strongly advise anyone considering air arabia to read their fine print carefully before paying extra for a cancellable ticketbecause in reality your money might not be as flexible as you think i certainly wont be choosing them again unless they make their policies more transparent and customerfriendly very disappointed with their refund  credit policies,highly restrictive and unfair policy,0,Solo Leisure,Economy Class,Kathmandu to Abu Dhabi,2,2,3,1,1,0,2,2025,January
1442,trip verified  terrible experience with this airline the airplane was badly maintained the legroom was nonexistent and we had the worst experience with customer service and staff at the airport even if you can find free tickets you are better off avoiding this airline,better off avoiding this airline,1,Couple Leisure,Economy Class,Athens to Bangkok,1,1,1,1,1,0,1,2025,January
1444,not verified  before two years i used to fly with them and it was a pleasant one now its far behind that quality i enjoy now there is no comfortable space between the two seats very difficult to sit if the front seater reclines his seat to mine also there is no entertainment option qr code is not visible every airlines targets only for maximum profit not the comfort of the pax all other things are okay,far behind that quality i enjoy,0,Solo Leisure,Economy Class,Kochi to Abu Dhabi,1,3,3,5,3,1,1,2024,December
1445,trip verified    really bad experience i dont recommend at all they made me pay extra on my hand baggage they even weight the laptop my wallet and my jacket and all of that happened after dropping my baggage at the counter and they have employees with their hands scale they wait for you just before you leave the counters area i said to the employee this is the same baggage i came with he just answered no body is following the roles all baggage must be k i said even my wallet he answered yes everything,really bad experience,1,Solo Leisure,Economy Class,Sharjah to Amman,1,2,1,1,1,0,1,2024,November
1446,not verified   i had a terrible experience with air arabia my husband was recovering from surgery and we planned a holiday which turned into a nightmare due to their services before paying everyone was polite but after that they left my family of  stranded despite having a hotel confirmation we were left on the streets at midnight when i tried to contact them the response was shocking they told me to wait until  am the next morning for a solution we had a tough morning without finding a solution as a result we asked for our tickets to be changed so we could return home dealing with the situation was particularly difficult because my youngest daughter has autism they agreed to change our tickets but asked us to pay for new ones however i have all the proof and all the records but they just prefer to keep silent i tried to find a suitable solution no way and the worst is when you go to their office or send an email your case will be handled by unprofessional staff who have no idea what you are talking about,i had a terrible experience,0,Family Leisure,Economy Class,Dubai to Tbilisi,1,1,1,1,1,0,1,2024,June
1447,not verified  you cant imagine how bad their customer service is it was about  hours delayed and i was travelling with my  little daughters    and they refused my compensation they even didnt even serve the food for my small daughters i knew how difficult my day was with this long delay and with my  little daughters,about  hours delayed,0,Family Leisure,Economy Class,Chittagong to Milan via Sharjah,1,1,1,1,2,0,1,2024,July
1448,not verified  very bad customer service at trivandrum airport check in distracting with laptop bag and hand bag the workers attitude is very bad while reaching the checkin counter and making the travel hectic poor service,poor service,0,Family Leisure,Economy Class,Thiruvananthapuram to Abha,2,1,2,1,1,0,1,2024,June
1451,not verified  i recently had a very disappointing experience with air arabia regarding their ticket cancellation and refund policy i booked a flight for my brother and paid an extra  just to make the ticket cancellable later due to unavoidable reasons i had to cancel the ticket instead of refunding the amount back to my original payment method air arabia held the amount in credit points which is an unfair policy considering i had paid extra for a cancellable ticket when i tried to use these credits for my own flight booking i was shocked to find out that i couldnt use them because the credit was under my brothers name despite the fact that both bookings were made from my own account this makes no senseif air arabia is going to hold my money hostage in credit points then at the very least they should allow it to be redeemed within the same account regardless of the passengers name this is a highly restrictive and unfair policy if an airline is unwilling to return the money directly to the customer they should at least provide the flexibility to use it for future bookings regardless of passenger name as long as it is within the same account this experience has left me with a very negative impression of air arabias policies instead of offering customerfriendly solutions they create unnecessary restrictions that ultimately cause financial loss and frustration for their passengers i would strongly advise anyone considering air arabia to read their fine print carefully before paying extra for a cancellable ticketbecause in reality your money might not be as flexible as you think i certainly wont be choosing them again unless they make their policies more transparent and customerfriendly very disappointed with their refund  credit policies,highly restrictive and unfair policy,0,Solo Leisure,Economy Class,Kathmandu to Abu Dhabi,2,2,3,1,1,0,2,2025,January
1452,trip verified  terrible experience with this airline the airplane was badly maintained the legroom was nonexistent and we had the worst experience with customer service and staff at the airport even if you can find free tickets you are better off avoiding this airline,better off avoiding this airline,1,Couple Leisure,Economy Class,Athens to Bangkok,1,1,1,1,1,0,1,2025,January
1454,not verified  before two years i used to fly with them and it was a pleasant one now its far behind that quality i enjoy now there is no comfortable space between the two seats very difficult to sit if the front seater reclines his seat to mine also there is no entertainment option qr code is not visible every airlines targets only for maximum profit not the comfort of the pax all other things are okay,far behind that quality i enjoy,0,Solo Leisure,Economy Class,Kochi to Abu Dhabi,1,3,3,5,3,1,1,2024,December
1455,trip verified    really bad experience i dont recommend at all they made me pay extra on my hand baggage they even weight the laptop my wallet and my jacket and all of that happened after dropping my baggage at the counter and they have employees with their hands scale they wait for you just before you leave the counters area i said to the employee this is the same baggage i came with he just answered no body is following the roles all baggage must be k i said even my wallet he answered yes everything,really bad experience,1,Solo Leisure,Economy Class,Sharjah to Amman,1,2,1,1,1,0,1,2024,November
1456,not verified   i had a terrible experience with air arabia my husband was recovering from surgery and we planned a holiday which turned into a nightmare due to their services before paying everyone was polite but after that they left my family of  stranded despite having a hotel confirmation we were left on the streets at midnight when i tried to contact them the response was shocking they told me to wait until  am the next morning for a solution we had a tough morning without finding a solution as a result we asked for our tickets to be changed so we could return home dealing with the situation was particularly difficult because my youngest daughter has autism they agreed to change our tickets but asked us to pay for new ones however i have all the proof and all the records but they just prefer to keep silent i tried to find a suitable solution no way and the worst is when you go to their office or send an email your case will be handled by unprofessional staff who have no idea what you are talking about,i had a terrible experience,0,Family Leisure,Economy Class,Dubai to Tbilisi,1,1,1,1,1,0,1,2024,June
1457,not verified  you cant imagine how bad their customer service is it was about  hours delayed and i was travelling with my  little daughters    and they refused my compensation they even didnt even serve the food for my small daughters i knew how difficult my day was with this long delay and with my  little daughters,about  hours delayed,0,Family Leisure,Economy Class,Chittagong to Milan via Sharjah,1,1,1,1,2,0,1,2024,July
1458,not verified  very bad customer service at trivandrum airport check in distracting with laptop bag and hand bag the workers attitude is very bad while reaching the checkin counter and making the travel hectic poor service,poor service,0,Family Leisure,Economy Class,Thiruvananthapuram to Abha,2,1,2,1,1,0,1,2024,June
1461,not verified  i recently had a very disappointing experience with air arabia regarding their ticket cancellation and refund policy i booked a flight for my brother and paid an extra  just to make the ticket cancellable later due to unavoidable reasons i had to cancel the ticket instead of refunding the amount back to my original payment method air arabia held the amount in credit points which is an unfair policy considering i had paid extra for a cancellable ticket when i tried to use these credits for my own flight booking i was shocked to find out that i couldnt use them because the credit was under my brothers name despite the fact that both bookings were made from my own account this makes no senseif air arabia is going to hold my money hostage in credit points then at the very least they should allow it to be redeemed within the same account regardless of the passengers name this is a highly restrictive and unfair policy if an airline is unwilling to return the money directly to the customer they should at least provide the flexibility to use it for future bookings regardless of passenger name as long as it is within the same account this experience has left me with a very negative impression of air arabias policies instead of offering customerfriendly solutions they create unnecessary restrictions that ultimately cause financial loss and frustration for their passengers i would strongly advise anyone considering air arabia to read their fine print carefully before paying extra for a cancellable ticketbecause in reality your money might not be as flexible as you think i certainly wont be choosing them again unless they make their policies more transparent and customerfriendly very disappointed with their refund  credit policies,highly restrictive and unfair policy,0,Solo Leisure,Economy Class,Kathmandu to Abu Dhabi,2,2,3,1,1,0,2,2025,January
1462,trip verified  terrible experience with this airline the airplane was badly maintained the legroom was nonexistent and we had the worst experience with customer service and staff at the airport even if you can find free tickets you are better off avoiding this airline,better off avoiding this airline,1,Couple Leisure,Economy Class,Athens to Bangkok,1,1,1,1,1,0,1,2025,January
1464,not verified  before two years i used to fly with them and it was a pleasant one now its far behind that quality i enjoy now there is no comfortable space between the two seats very difficult to sit if the front seater reclines his seat to mine also there is no entertainment option qr code is not visible every airlines targets only for maximum profit not the comfort of the pax all other things are okay,far behind that quality i enjoy,0,Solo Leisure,Economy Class,Kochi to Abu Dhabi,1,3,3,5,3,1,1,2024,December
1465,trip verified    really bad experience i dont recommend at all they made me pay extra on my hand baggage they even weight the laptop my wallet and my jacket and all of that happened after dropping my baggage at the counter and they have employees with their hands scale they wait for you just before you leave the counters area i said to the employee this is the same baggage i came with he just answered no body is following the roles all baggage must be k i said even my wallet he answered yes everything,really bad experience,1,Solo Leisure,Economy Class,Sharjah to Amman,1,2,1,1,1,0,1,2024,November
1466,not verified   i had a terrible experience with air arabia my husband was recovering from surgery and we planned a holiday which turned into a nightmare due to their services before paying everyone was polite but after that they left my family of  stranded despite having a hotel confirmation we were left on the streets at midnight when i tried to contact them the response was shocking they told me to wait until  am the next morning for a solution we had a tough morning without finding a solution as a result we asked for our tickets to be changed so we could return home dealing with the situation was particularly difficult because my youngest daughter has autism they agreed to change our tickets but asked us to pay for new ones however i have all the proof and all the records but they just prefer to keep silent i tried to find a suitable solution no way and the worst is when you go to their office or send an email your case will be handled by unprofessional staff who have no idea what you are talking about,i had a terrible experience,0,Family Leisure,Economy Class,Dubai to Tbilisi,1,1,1,1,1,0,1,2024,June
1467,not verified  you cant imagine how bad their customer service is it was about  hours delayed and i was travelling with my  little daughters    and they refused my compensation they even didnt even serve the food for my small daughters i knew how difficult my day was with this long delay and with my  little daughters,about  hours delayed,0,Family Leisure,Economy Class,Chittagong to Milan via Sharjah,1,1,1,1,2,0,1,2024,July
1468,not verified  very bad customer service at trivandrum airport check in distracting with laptop bag and hand bag the workers attitude is very bad while reaching the checkin counter and making the travel hectic poor service,poor service,0,Family Leisure,Economy Class,Thiruvananthapuram to Abha,2,1,2,1,1,0,1,2024,June
